Database ID,_166_1,_166_2,_181_1,_181_2,_182_1,_182_2,_207_1,_207_2,Reef,Region,Species,Final Clonal ID,Tube ID,Sample ID,,,,,,,,,,,
15418,146,146,174,186,158,161,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1747 ,PR207,V7,,,,,,,,,,,
15419,146,146,159,171,161,164,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1742 ,PR208,V8,,,,,,,,,,,
15420,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,PR209,V9,,,,,,,,,,,
15421,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,PR210,V10,,,,,,,,,,,
15422,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,PR211,V11,,,,,,,,,,,
15423,146,146,174,186,158,161,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1747 ,PR212,V12,,,,,,,,,,,
15424,143,143,168,180,161,173,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1705 ,PR213,V13,,,,,,,,,,,
15425,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,PR214,V14,,,,,,,,,,,
15426,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,PR215,V15,,,,,,,,,,,
15427,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,PR216,V16,,,,,,,,,,,
15428,146,146,159,171,161,164,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1742 ,PR217,V17,,,,,,,,,,,
15429,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,PR218,V18,,,,,,,,,,,
15430,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,PR219,V19,,,,,,,,,,,
15431,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,PR220,V20,,,,,,,,,,,
15432,146,146,162,180,158,185,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1746 ,PR221,V21,,,,,,,,,,,
15433,143,149,159,165,143,161,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1734 ,PR222,V22,,,,,,,,,,,
15434,146,146,162,168,158,161,158,158,Culebrita,PuertoRico,Acropora cervicornis, C1744 ,PR223,V23,,,,,,,,,,,
15435,143,146,165,180,158,158,158,164,Culebrita,PuertoRico,Acropora cervicornis, C1729 ,PR224,V24,,,,,,,,,,,
15436,143,146,159,159,158,167,158,158,Culebrita,PuertoRico,Acropora cervicornis, C1714 ,PR225,V25,,,,,,,,,,,
15437,146,146,162,180,158,185,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1746 ,PR226,V26,,,,,,,,,,,
15438,143,149,159,165,143,161,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1734 ,PR227,V27,,,,,,,,,,,
15439,143,149,159,165,143,161,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1734 ,PR228,V28,,,,,,,,,,,
15440,143,149,159,165,143,161,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1734 ,PR229,V29,,,,,,,,,,,
15441,143,143,174,174,143,158,164,176,Culebrita,PuertoRico,Acropora cervicornis, C1706 ,PR230,V30,,,,,,,,,,,
15442,146,146,162,168,158,161,158,158,Culebrita,PuertoRico,Acropora cervicornis, C1744 ,PR231,V31,,,,,,,,,,,
15443,143,143,174,174,143,158,164,176,Culebrita,PuertoRico,Acropora cervicornis, C1706 ,PR232,V32,,,,,,,,,,,
15444,146,146,162,180,158,185,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1746 ,PR233,V33,,,,,,,,,,,
15445,146,146,162,180,158,185,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1746 ,PR234,V34,,,,,,,,,,,
15446,143,143,174,174,143,158,164,176,Culebrita,PuertoRico,Acropora cervicornis, C1706 ,PR235,V35,,,,,,,,,,,
15447,143,149,159,165,143,161,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1734 ,PR236,V36,,,,,,,,,,,
15448,143,143,174,174,143,158,164,176,Culebrita,PuertoRico,Acropora cervicornis, C1706 ,PR237,V37,,,,,,,,,,,
15449,143,143,162,162,164,167,158,158,Culebrita,PuertoRico,Acropora cervicornis, C1699 ,PR238,V38,,,,,,,,,,,
15450,143,143,174,174,143,158,164,176,Culebrita,PuertoRico,Acropora cervicornis, C1706 ,PR239,V39,,,,,,,,,,,
15451,143,149,159,165,143,161,158,161,Culebrita,PuertoRico,Acropora cervicornis, C1734 ,PR240,V40,,,,,,,,,,,
15452,143,143,162,174,155,161,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1701 ,PR241,V41,,,,,,,,,,,
15453,143,146,159,162,158,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1716 ,PR242,V42,,,,,,,,,,,
15454,143,146,168,180,167,185,161,170,Luis Pena,PuertoRico,Acropora cervicornis, C1730 ,PR243,V43,,,,,,,,,,,
15455,143,146,159,162,158,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1716 ,PR244,V44,,,,,,,,,,,
15456,143,146,159,162,158,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1716 ,PR245,V45,,,,,,,,,,,
15457,140,146,162,174,149,158,161,173,Luis Pena,PuertoRico,Acropora cervicornis, C1691 ,PR246,V46,,,,,,,,,,,
15458,140,146,162,174,149,158,161,173,Luis Pena,PuertoRico,Acropora cervicornis, C1691 ,PR247,V47,,,,,,,,,,,
15459,140,146,162,174,149,158,161,173,Luis Pena,PuertoRico,Acropora cervicornis, C1691 ,PR248,V48,,,,,,,,,,,
15460,143,143,153,162,158,161,158,170,Luis Pena,PuertoRico,Acropora cervicornis, C1695 ,PR249,V49,,,,,,,,,,,
15461,143,146,168,180,167,185,161,170,Luis Pena,PuertoRico,Acropora cervicornis, C1730 ,PR250,V50,,,,,,,,,,,
15462,143,143,162,174,155,161,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1701 ,PR251,V51,,,,,,,,,,,
15463,143,146,168,180,167,185,161,170,Luis Pena,PuertoRico,Acropora cervicornis, C1730 ,PR252,V52,,,,,,,,,,,
15464,143,143,162,174,155,161,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1701 ,PR253,V53,,,,,,,,,,,
15465,140,146,159,159,155,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1688 ,PR254,V54,,,,,,,,,,,
15466,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,PR255,V55,,,,,,,,,,,
15467,143,143,162,165,155,164,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1700 ,PR256,V56,,,,,,,,,,,
15468,143,143,165,165,164,167,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1703 ,PR257,V57,,,,,,,,,,,
15469,143,146,159,174,143,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1720 ,PR258,V58,,,,,,,,,,,
15470,140,143,162,174,158,188,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1685 ,PR259,V59,,,,,,,,,,,
15471,143,143,168,174,158,170,158,164,Los Corchos,PuertoRico,Acropora cervicornis, C1704 ,PR260,V60,,,,,,,,,,,
15472,143,143,159,168,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1696 ,PR261,V61,,,,,,,,,,,
15473,143,143,168,174,158,170,158,164,Los Corchos,PuertoRico,Acropora cervicornis, C1704 ,PR262,V62,,,,,,,,,,,
15474,143,143,174,177,143,155,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1709 ,PR263,V63,,,,,,,,,,,
15475,143,143,165,165,161,185,164,173,Los Corchos,PuertoRico,Acropora cervicornis, C1702 ,PR264,V64,,,,,,,,,,,
15476,143,146,171,174,158,161,161,161,Los Corchos,PuertoRico,Acropora cervicornis, C1731 ,PR265,V65,,,,,,,,,,,
15477,146,146,159,165,143,161,158,176,Los Corchos,PuertoRico,Acropora cervicornis, C1740 ,PR266,V66,,,,,,,,,,,
15478,143,146,159,174,143,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1720 ,PR267,V67,,,,,,,,,,,
15479,137,146,159,162,161,185,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1682 ,PR268,V68,,,,,,,,,,,
